GradeRecordID,StudentID,SubjectName,SubjectType,Grade
GRD00001,STU001,Music,Elective,95
GRD00002,STU002,History,Core,91
GRD00003,STU003,Mathematics,Core,55
GRD00004,STU004,English,Core,75
GRD00005,STU005,Science,Core,95
GRD00006,STU006,Geography,Core,73
GRD00007,STU007,Art,Elective,96
GRD00008,STU008,Drama,Elective,76
GRD00009,STU009,Computer Science,Elective,57
GRD00010,STU010,Robotics,Elective,40
GRD00011,STU011,Physical Education,Elective,77
GRD00012,STU012,Dance,Elective,45
GRD00013,STU013,Cooking,Elective,50
GRD00014,STU014,Photography,Elective,43
GRD00015,STU015,Debate,Elective,46
GRD00016,STU016,Music,Elective,67
GRD00017,STU017,History,Core,87
GRD00018,STU018,Mathematics,Core,64
GRD00019,STU019,English,Core,44
GRD00020,STU020,Science,Core,77
GRD00021,STU021,Geography,Core,94
GRD00022,STU022,Art,Elective,85
GRD00023,STU023,Drama,Elective,42
GRD00024,STU024,Computer Science,Elective,85
GRD00025,STU025,Robotics,Elective,61
GRD00026,STU026,Physical Education,Elective,76
GRD00027,STU027,Dance,Elective,60
GRD00028,STU028,Cooking,Elective,91
GRD00029,STU029,Photography,Elective,67
GRD00030,STU030,Debate,Elective,49
GRD00031,STU031,Music,Elective,83
GRD00032,STU032,History,Core,85
GRD00033,STU033,Mathematics,Core,99
GRD00034,STU034,English,Core,78
GRD00035,STU035,Science,Core,62
GRD00036,STU036,Geography,Core,88
GRD00037,STU037,Art,Elective,42
GRD00038,STU038,Drama,Elective,73
GRD00039,STU039,Computer Science,Elective,59
GRD00040,STU040,Robotics,Elective,48
GRD00041,STU041,Physical Education,Elective,50
GRD00042,STU042,Dance,Elective,76
GRD00043,STU043,Cooking,Elective,46
GRD00044,STU044,Photography,Elective,68
GRD00045,STU045,Debate,Elective,75
GRD00046,STU046,Music,Elective,90
GRD00047,STU047,History,Core,77
GRD00048,STU048,Mathematics,Core,88
GRD00049,STU049,English,Core,83
GRD00050,STU050,Science,Core,66
GRD00051,STU001,Geography,Core,40
GRD00052,STU002,Art,Elective,71
GRD00053,STU003,Drama,Elective,65
GRD00054,STU004,Computer Science,Elective,87
GRD00055,STU005,Robotics,Elective,85
GRD00056,STU006,Physical Education,Elective,100
GRD00057,STU007,Dance,Elective,80
GRD00058,STU008,Cooking,Elective,72
GRD00059,STU009,Photography,Elective,52
GRD00060,STU010,Debate,Elective,73
GRD00061,STU011,Music,Elective,99
GRD00062,STU012,History,Core,71
GRD00063,STU013,Mathematics,Core,94
GRD00064,STU014,English,Core,46
GRD00065,STU015,Science,Core,80
GRD00066,STU016,Geography,Core,87
GRD00067,STU017,Art,Elective,92
