BULK IMPORT LOG
Timestamp: 2026-01-03 13:22:34
Source File: grade_records.csv
Format: 5 columns, with GradeID
Has Header: true
=========================================

Line 1: SKIPPED - Header row: ﻿GradeRecordID,StudentID,SubjectName,SubjectType,Grade
Row 1: SUCCESS - GRD00001, STU001, Music (Elective), 95.0%
Row 2: SUCCESS - GRD00002, STU002, History (Core), 91.0%
Row 3: SUCCESS - GRD00003, STU003, Mathematics (Core), 55.0%
Row 4: SUCCESS - GRD00004, STU004, English (Core), 75.0%
Row 5: SUCCESS - GRD00005, STU005, Science (Core), 95.0%
Row 6: SUCCESS - GRD00006, STU006, Geography (Core), 73.0%
Row 7: SUCCESS - GRD00007, STU007, Art (Elective), 96.0%
Row 8: SUCCESS - GRD00008, STU008, Drama (Elective), 76.0%
Row 9: SUCCESS - GRD00009, STU009, Computer Science (Elective), 57.0%
Row 10: SUCCESS - GRD00010, STU010, Robotics (Elective), 40.0%
Row 11: SUCCESS - GRD00011, STU011, Physical Education (Elective), 77.0%
Row 12: SUCCESS - GRD00012, STU012, Dance (Elective), 45.0%
Row 13: SUCCESS - GRD00013, STU013, Cooking (Elective), 50.0%
Row 14: SUCCESS - GRD00014, STU014, Photography (Elective), 43.0%
Row 15: SUCCESS - GRD00015, STU015, Debate (Elective), 46.0%
Row 16: SUCCESS - GRD00016, STU016, Music (Elective), 67.0%
Row 17: SUCCESS - GRD00017, STU017, History (Core), 87.0%
Row 18: SUCCESS - GRD00018, STU018, Mathematics (Core), 64.0%
Row 19: SUCCESS - GRD00019, STU019, English (Core), 44.0%
Row 20: SUCCESS - GRD00020, STU020, Science (Core), 77.0%
Row 21: SUCCESS - GRD00021, STU021, Geography (Core), 94.0%
Row 22: SUCCESS - GRD00022, STU022, Art (Elective), 85.0%
Row 23: SUCCESS - GRD00023, STU023, Drama (Elective), 42.0%
Row 24: SUCCESS - GRD00024, STU024, Computer Science (Elective), 85.0%
Row 25: SUCCESS - GRD00025, STU025, Robotics (Elective), 61.0%
Row 26: SUCCESS - GRD00026, STU026, Physical Education (Elective), 76.0%
Row 27: SUCCESS - GRD00027, STU027, Dance (Elective), 60.0%
Row 28: SUCCESS - GRD00028, STU028, Cooking (Elective), 91.0%
Row 29: SUCCESS - GRD00029, STU029, Photography (Elective), 67.0%
Row 30: SUCCESS - GRD00030, STU030, Debate (Elective), 49.0%
Row 31: SUCCESS - GRD00031, STU031, Music (Elective), 83.0%
Row 32: SUCCESS - GRD00032, STU032, History (Core), 85.0%
