StudentID,SubjectName,SubjectType,Grade
STU00001,History,Core,69
STU00002,Music,Elective,80
STU00003,History,Core,87
STU00004,Robotics,Elective,97
STU00005,Cooking,Elective,94
STU00006,Mathematics,Core,66
STU00007,Science,Core,73
STU00008,English,Core,62
STU00009,Debate,Elective,98
STU00010,History,Core,62
STU00011,Geography,Core,88
STU00012,Geography,Core,64
STU00013,Computer Science,Elective,76
STU00014,Music,Elective,100
STU00015,Photography,Elective,68
STU00016,Art,Elective,94
STU00017,History,Core,68
STU00018,English,Core,53
STU00019,Photography,Elective,90
STU00020,Photography,Elective,63
STU00021,English,Core,83
STU00022,Drama,Elective,78
STU00023,English,Core,88
STU00024,Drama,Elective,90
STU00025,Dance,Elective,72
STU00026,History,Core,84
STU00027,Geography,Core,84
STU00028,English,Core,70
STU00029,Art,Elective,72
STU00030,Dance,Elective,100
STU00031,Music,Elective,85
STU00032,Cooking,Elective,84
STU00033,English,Core,76
STU00034,History,Core,53
STU00035,Photography,Elective,75
STU00036,Cooking,Elective,100
STU00037,Geography,Core,75
STU00038,Science,Core,78
STU00039,Drama,Elective,98
STU00040,Cooking,Elective,67
STU00041,Drama,Elective,86
STU00042,English,Core,95
STU00043,Art,Elective,100
STU00044,English,Core,100
STU00045,Science,Core,77
STU00046,Science,Core,74
STU00047,Cooking,Elective,80
STU00048,Music,Elective,97
STU00049,History,Core,68
STU00050,History,Core,81
STU00051,Geography,Core,64
STU00052,Art,Elective,76
STU00053,Photography,Elective,64
STU00054,History,Core,92
STU00055,Science,Core,77
STU00056,Drama,Elective,63
STU00057,Cooking,Elective,72
STU00058,Computer Science,Elective,98
STU00059,History,Core,76
STU00060,English,Core,75
STU00061,Debate,Elective,94
STU00062,Science,Core,79
STU00063,Dance,Elective,76
STU00064,Science,Core,75
STU00065,Geography,Core,100
STU00066,Drama,Elective,52
STU00067,History,Core,76
STU00068,Mathematics,Core,82
STU00069,Science,Core,79
STU00070,Geography,Core,100
STU00071,Geography,Core,74
STU00072,Mathematics,Core,85
STU00073,History,Core,84
STU00074,Geography,Core,67
STU00075,Mathematics,Core,75
STU00076,Art,Elective,87
STU00077,Physical Education,Elective,79
STU00078,Mathematics,Core,94
STU00079,Music,Elective,79
STU00080,English,Core,66
STU00081,Music,Elective,77
STU00082,History,Core,58
STU00083,Geography,Core,81
STU00084,Art,Elective,85
STU00085,English,Core,75
STU00086,Drama,Elective,71
STU00087,Science,Core,72
STU00088,Robotics,Elective,70
STU00089,Robotics,Elective,98
STU00090,Mathematics,Core,88
STU00091,English,Core,90
STU00092,Drama,Elective,73
STU00093,Geography,Core,59
STU00094,Robotics,Elective,87
STU00095,Science,Core,94
STU00096,English,Core,58
STU00097,Computer Science,Elective,77
STU00098,History,Core,99
STU00099,History,Core,91
STU00100,History,Core,57
STU00101,Cooking,Elective,82
STU00102,Geography,Core,91
STU00103,Science,Core,88
STU00104,Computer Science,Elective,99
STU00105,History,Core,80
STU00106,History,Core,71
STU00107,English,Core,69
STU00108,Music,Elective,81
STU00109,Geography,Core,77
STU00110,Computer Science,Elective,71
STU00111,Geography,Core,92
STU00112,Geography,Core,72
STU00113,Debate,Elective,64
