timestamp,threadId,operationType,userAction,executionTime(ms),status,details,studentId
"2025-12-13 12:34:40.758","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 12:34:40.884","main","SYSTEM_INIT","System initialization complete",112,"SUCCESS","","null"
"2025-12-13 12:35:02.964","main","MENU_NAV","User selected option: 10",0,"SUCCESS","","null"
"2025-12-13 12:35:03.011","main","VIEW_STATISTICS","Viewed class statistics",47,"SUCCESS","","null"
"2025-12-13 12:39:43.863","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 12:39:44.060","main","SYSTEM_INIT","System initialization complete",190,"SUCCESS","","null"
"2025-12-13 12:40:00.069","main","MENU_NAV","User selected option: 10",0,"SUCCESS","","null"
"2025-12-13 12:40:00.081","main","VIEW_STATISTICS","Viewed class statistics",11,"SUCCESS","","null"
"2025-12-13 12:57:34.250","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 12:57:34.385","main","SYSTEM_INIT","System initialization complete",129,"SUCCESS","","null"
"2025-12-13 12:57:46.729","main","MENU_NAV","User selected option: 10",0,"SUCCESS","","null"
"2025-12-13 12:57:46.747","main","VIEW_STATISTICS","Viewed class statistics",17,"SUCCESS","","null"
"2025-12-13 13:02:41.496","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 13:02:41.607","main","SYSTEM_INIT","System initialization complete",104,"SUCCESS","","null"
"2025-12-13 13:02:50.180","main","MENU_NAV","User selected option: 15",0,"SUCCESS","","null"
"2025-12-13 13:03:53.763","main","PATTERN_SEARCH","Pattern search found 4 students",29266,"SUCCESS","","null"
"2025-12-13 13:04:12.864","main","MENU_NAV","User selected option: 19",0,"SUCCESS","","null"
"2025-12-13 13:04:23.787","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:04:32.558","main","MENU_NAV","User selected option: 20",0,"SUCCESS","","null"
"2025-12-13 13:04:59.261","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:05:07.612","main","MENU_NAV","User selected option: 20",0,"SUCCESS","","null"
"2025-12-13 13:05:18.141","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:05:33.297","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:05:36.208","main","MENU_NAV","User selected option: 9",0,"SUCCESS","","null"
"2025-12-13 13:05:41.808","main","CALCULATE_GPA","Calculated GPA for STU002",28,"SUCCESS","","STU002"
"2025-12-13 13:05:48.466","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:06:05.846","main","MENU_NAV","User selected option: 2",0,"SUCCESS","","null"
"2025-12-13 13:06:05.855","main","VIEW_STUDENTS","Viewed all students",8,"SUCCESS","","null"
"2025-12-13 13:06:11.450","main","MENU_NAV","User selected option: ",0,"SUCCESS","","null"
"2025-12-13 13:06:17.905","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:06:51.705","main","EXPORT_REPORT","Exported report for STU001 in format: 1",8,"SUCCESS","","STU001"
"2025-12-13 13:07:00.151","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:07:06.397","main","EXPORT_REPORT","Student not found: SSTU001",0,"ERROR","Student with ID 'SSTU001' not found in the system.","SSTU001"
"2025-12-13 13:07:43.823","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:08:09.137","main","EXPORT_REPORT","Exported report for STU001 in format: 2",10,"SUCCESS","","STU001"
"2025-12-13 13:08:20.118","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:08:42.531","main","EXPORT_REPORT","Export failed",0,"ERROR","Export failed: Binary export failed: models.CoreSubject","STU001"
"2025-12-13 13:08:56.493","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:09:11.908","main","EXPORT_REPORT","Export failed",0,"ERROR","Export failed: Binary export failed: models.CoreSubject","STU001"
"2025-12-13 13:41:18.597","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 13:41:18.757","main","SYSTEM_INIT","System initialization complete",150,"SUCCESS","","null"
"2025-12-13 13:41:43.184","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 13:41:43.312","main","SYSTEM_INIT","System initialization complete",112,"SUCCESS","","null"
"2025-12-13 13:41:47.922","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:42:05.436","main","EXPORT_REPORT","Export failed",0,"ERROR","Export failed: Binary export failed: models.CoreSubject","STU002"
"2025-12-13 13:45:41.408","main","SYSTEM","Directories initialized",0,"SUCCESS","","null"
"2025-12-13 13:45:41.540","main","SYSTEM_INIT","System initialization complete",123,"SUCCESS","","null"
"2025-12-13 13:45:51.445","main","MENU_NAV","User selected option: 5",0,"SUCCESS","","null"
"2025-12-13 13:46:11.210","main","EXPORT_REPORT","Export failed",0,"ERROR","Export failed: Binary export failed: models.CoreSubject","STU003"
